,cell,uniq_frags,frip,frac_open,mapping_rate,sequencing_depth,dup_level,mt_content,library_size,plate,celltype,TREATMENT
622,Immunodeficiency7828280,42066.0,0.796678,0.281833,95.58,397070,0.877634,0.02213,43033,,Naive B-cells,CVID
623,Immunodeficiency7828281,13661.0,0.792026,0.136549,94.83,108827,0.8518479999999999,0.034285,14166,,USM B-cells,CVID
624,Immunodeficiency7828282,14428.0,0.809779,0.1416,95.74,103458,0.82257,0.106459,16215,,SM B-cells,CVID
625,Immunodeficiency7828283,6760.0,0.795573,0.07507899999999999,95.77,43849,0.81219,0.07625,7360,,USM B-cells,CONTROL
626,Immunodeficiency7828284,36352.0,0.7393149999999999,0.246521,95.57,324283,0.8632569999999999,0.015385,36950,,SM B-cells,CVID
627,Immunodeficiency7828285,17731.0,0.796285,0.16256199999999998,95.23,144068,0.85224,0.049582,18681,,USM B-cells,CONTROL
628,Immunodeficiency7828286,39658.0,0.691955,0.25051100000000004,95.33,361521,0.868483,0.039245999999999996,41303,,SM B-cells,CVID
629,Immunodeficiency7828287,28230.0,0.817736,0.22256700000000001,95.41,273144,0.873792,0.068132,30307,,USM B-cells,CONTROL
630,Immunodeficiency7828288,7497.0,0.7976489999999999,0.084185,96.38,33261,0.695129,0.144373,9191,,SM B-cells,CVID
631,Immunodeficiency7828289,34443.0,0.789447,0.24813000000000002,95.45,315923,0.876282,0.003904,34591,,USM B-cells,CONTROL
632,Immunodeficiency7828290,28030.0,0.7972279999999999,0.22256700000000001,95.85,242680,0.862635,0.05256,29609,,SM B-cells,CVID
633,Immunodeficiency7828291,30177.0,0.789408,0.2323,95.69,281559,0.8751530000000001,0.028804000000000003,31084,,USM B-cells,CONTROL
634,Immunodeficiency7828292,26172.0,0.797851,0.21294699999999997,95.41,244597,0.8682629999999999,0.070266,28167,,SM B-cells,CVID
635,Immunodeficiency7828293,32918.0,0.7779020000000001,0.244575,95.5,314710,0.881108,0.005438,33107,,USM B-cells,CONTROL
636,Immunodeficiency7828294,59162.0,0.748243,0.350944,95.53,556418,0.8788819999999999,0.009873999999999999,59771,,SM B-cells,CVID
